artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Pháo and KAIZ,2 Phút Hơn - KAIZ Remix,4SUk1ZTtA6OC120afxrpRZ,spotify:track:4SUk1ZTtA6OC120afxrpRZ,https://api.spotify.com/v1/tracks/4SUk1ZTtA6OC120afxrpRZ,https://api.spotify.com/v1/audio-analysis/4SUk1ZTtA6OC120afxrpRZ,67,0.845,0.733,9,-4.581,1,0.0566,0.0265,0.0109,0.063,0.28,128.016,183832,4
Sơn Tùng M-TP,Muộn Rồi Mà Sao Còn,5fFLotKS1286huYIMQHqz7,spotify:track:5fFLotKS1286huYIMQHqz7,https://api.spotify.com/v1/tracks/5fFLotKS1286huYIMQHqz7,https://api.spotify.com/v1/audio-analysis/5fFLotKS1286huYIMQHqz7,63,0.888,0.418,0,-9.812000000000001,1,0.0573,0.665,0.0,0.111,0.531,127.073,275906,4
Sơn Tùng M-TP,Chúng Ta Của Hiện Tại,17iGUekw5nFt5mIRJcUm3R,spotify:track:17iGUekw5nFt5mIRJcUm3R,https://api.spotify.com/v1/tracks/17iGUekw5nFt5mIRJcUm3R,https://api.spotify.com/v1/audio-analysis/17iGUekw5nFt5mIRJcUm3R,62,0.569,0.66,2,-5.268,1,0.0358,0.0675,0.0,0.20199999999999999,0.49700000000000005,155.907,301538,4
Da LAB,Thức Giấc,1MiJk3dXC5jzhvLFP0dUM7,spotify:track:1MiJk3dXC5jzhvLFP0dUM7,https://api.spotify.com/v1/tracks/1MiJk3dXC5jzhvLFP0dUM7,https://api.spotify.com/v1/audio-analysis/1MiJk3dXC5jzhvLFP0dUM7,61,0.66,0.578,9,-8.591000000000001,1,0.0306,0.45,8.859999999999999e-05,0.10300000000000001,0.19,127.09200000000001,269021,4
W/N and Duongg and Nau and titie,3107 3,1EmMFSLRVkOszCa4ul9z0F,spotify:track:1EmMFSLRVkOszCa4ul9z0F,https://api.spotify.com/v1/tracks/1EmMFSLRVkOszCa4ul9z0F,https://api.spotify.com/v1/audio-analysis/1EmMFSLRVkOszCa4ul9z0F,61,0.6629999999999999,0.344,0,-14.025,1,0.0495,0.922,0.00298,0.0916,0.469,135.904,240000,4
Lynk Lee,Buồn Thì Cứ Khóc Đi,6iXGivPFpsqKmrINhIbPvx,spotify:track:6iXGivPFpsqKmrINhIbPvx,https://api.spotify.com/v1/tracks/6iXGivPFpsqKmrINhIbPvx,https://api.spotify.com/v1/audio-analysis/6iXGivPFpsqKmrINhIbPvx,59,0.7040000000000001,0.542,2,-4.663,0,0.0307,0.47600000000000003,0.000196,0.141,0.386,97.006,222314,4
JSOL and Hoàng Duyên,Sài Gòn Hôm Nay Mưa,1xoadYaxtOp9gHDwgmPDuz,spotify:track:1xoadYaxtOp9gHDwgmPDuz,https://api.spotify.com/v1/tracks/1xoadYaxtOp9gHDwgmPDuz,https://api.spotify.com/v1/audio-analysis/1xoadYaxtOp9gHDwgmPDuz,59,0.624,0.604,2,-5.438,1,0.0619,0.784,0.00869,0.10800000000000001,0.354,136.077,247059,4
hooligan.,To The Moon,1CyYcBdukmFjFibDZaDlHc,spotify:track:1CyYcBdukmFjFibDZaDlHc,https://api.spotify.com/v1/tracks/1CyYcBdukmFjFibDZaDlHc,https://api.spotify.com/v1/audio-analysis/1CyYcBdukmFjFibDZaDlHc,59,0.648,0.5429999999999999,0,-6.781000000000001,1,0.0399,0.14300000000000002,0.0,0.187,0.382,119.926,201507,4
MONSTAR,có hẹn với thanh xuân,0zCGKGZB5aySnQQSHWRGIT,spotify:track:0zCGKGZB5aySnQQSHWRGIT,https://api.spotify.com/v1/tracks/0zCGKGZB5aySnQQSHWRGIT,https://api.spotify.com/v1/audio-analysis/0zCGKGZB5aySnQQSHWRGIT,59,0.613,0.5,10,-8.349,1,0.0277,0.547,0.000181,0.327,0.342,99.99799999999999,218027,4
Chillies and Suni Hạ Linh and Rhymastic,Cứ Chill Thôi,014DA3BdnmD3kI5pBogH7c,spotify:track:014DA3BdnmD3kI5pBogH7c,https://api.spotify.com/v1/tracks/014DA3BdnmD3kI5pBogH7c,https://api.spotify.com/v1/audio-analysis/014DA3BdnmD3kI5pBogH7c,59,0.7809999999999999,0.608,8,-8.452,1,0.0408,0.217,3.63e-05,0.158,0.609,101.01700000000001,270000,4
