artists,track_name,id,uri,track_href,analysis_url,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,label
RAP VIỆT and Ricky Star,Con Nhà Người Ta (feat. Ricky Star),2PsDFHnuQAHL3fiqMp2Xaw,spotify:track:2PsDFHnuQAHL3fiqMp2Xaw,https://api.spotify.com/v1/tracks/2PsDFHnuQAHL3fiqMp2Xaw,https://api.spotify.com/v1/audio-analysis/2PsDFHnuQAHL3fiqMp2Xaw,34,0.832,0.715,7,-7.547,1,0.263,0.027,0,0.258,0.718,123.937,213962,4,0
Quang Le and Lam Anh,Sao Anh No Danh Quen,7p4AqCpWOAVZTbV61XKnZW,spotify:track:7p4AqCpWOAVZTbV61XKnZW,https://api.spotify.com/v1/tracks/7p4AqCpWOAVZTbV61XKnZW,https://api.spotify.com/v1/audio-analysis/7p4AqCpWOAVZTbV61XKnZW,0,0.439,0.52,2,-7.09,1,0.0307,0.622,2.29E-06,0.254,0.502,79.935,250215,4,0
Đen and MTV band,Trốn Tìm,34uOIsoy6ETS2sxOTWBRDF,spotify:track:34uOIsoy6ETS2sxOTWBRDF,https://api.spotify.com/v1/tracks/34uOIsoy6ETS2sxOTWBRDF,https://api.spotify.com/v1/audio-analysis/34uOIsoy6ETS2sxOTWBRDF,56,0.771,0.287,9,-17.208,0,0.072,0.669,0,0.104,0.402,93.041,248871,4,1
MONSTAR,Và Tôi Hát,5bwkC04RHXHnl3VpZjsVuU,spotify:track:5bwkC04RHXHnl3VpZjsVuU,https://api.spotify.com/v1/tracks/5bwkC04RHXHnl3VpZjsVuU,https://api.spotify.com/v1/audio-analysis/5bwkC04RHXHnl3VpZjsVuU,22,0.82,0.942,11,-3.659,1,0.18,0.112,0,0.0682,0.902,137.969,191304,4,0
Lam Truong,Người yêu hỡi,7JQQ0xtHBzXuASC649lOgW,spotify:track:7JQQ0xtHBzXuASC649lOgW,https://api.spotify.com/v1/tracks/7JQQ0xtHBzXuASC649lOgW,https://api.spotify.com/v1/audio-analysis/7JQQ0xtHBzXuASC649lOgW,0,0.607,0.808,6,-14.767,1,0.0968,0.0282,0,0.077,0.381,99.033,259293,4,0
Hoang Thuy Linh,Em Day Chang Phai Thuy Kieu,031jyNUkkD02vrkgZDGJxu,spotify:track:031jyNUkkD02vrkgZDGJxu,https://api.spotify.com/v1/tracks/031jyNUkkD02vrkgZDGJxu,https://api.spotify.com/v1/audio-analysis/031jyNUkkD02vrkgZDGJxu,45,0.666,0.492,7,-8.214,0,0.0504,0.681,0.00436,0.131,0.683,87.996,214500,4,0
Đen and JustaTee and Biên,Đố em biết anh đang nghĩ gì,7abJKdWP25uct1mcCrWNZw,spotify:track:7abJKdWP25uct1mcCrWNZw,https://api.spotify.com/v1/tracks/7abJKdWP25uct1mcCrWNZw,https://api.spotify.com/v1/audio-analysis/7abJKdWP25uct1mcCrWNZw,42,0.6,0.445,4,-12.119,0,0.472,0.739,0,0.0829,0.564,180.044,246236,4,1
Đen and MIN,Bài Này Chill Phết,2AiZm17zqkV7llT3SHz4Nu,spotify:track:2AiZm17zqkV7llT3SHz4Nu,https://api.spotify.com/v1/tracks/2AiZm17zqkV7llT3SHz4Nu,https://api.spotify.com/v1/audio-analysis/2AiZm17zqkV7llT3SHz4Nu,55,0.789,0.488,9,-5.662,0,0.297,0.32,0,0.0847,0.29,159.986,276001,4,1
Lam Truong,Lời của gió,3tEeV0IgTRt7xAKnAMNanz,spotify:track:3tEeV0IgTRt7xAKnAMNanz,https://api.spotify.com/v1/tracks/3tEeV0IgTRt7xAKnAMNanz,https://api.spotify.com/v1/audio-analysis/3tEeV0IgTRt7xAKnAMNanz,3,0.712,0.515,2,-11.542,0,0.0437,0.132,4.89E-05,0.0743,0.563,110.027,329293,4,0
Đen and Giang Nguyễn,Đi Theo Bóng Mặt Trời,0g1lSO4QxUCoxpVp0xvDmD,spotify:track:0g1lSO4QxUCoxpVp0xvDmD,https://api.spotify.com/v1/tracks/0g1lSO4QxUCoxpVp0xvDmD,https://api.spotify.com/v1/audio-analysis/0g1lSO4QxUCoxpVp0xvDmD,46,0.687,0.495,9,-10.036,1,0.345,0.754,0,0.251,0.51,77.407,162102,4,1
